id,customer_message,true_intent,predicted_intent,true_escalation,predicted_escalation,top_similarity,generated_reply,failure_type
23,I bought two tickets for my friend &amp; I tomorrow but she cancelled last minuted &amp; can’t go now. Will I be charged any fees ... For her cancellation or will I get any refund?,booking_change,refund_compensation,False,HUMAN,0.182,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.19 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
24,"Flying too la barbade today 🤗, i have been selected for the ssss check yay @AmericanAir 😒",checkin_boarding,flight_status_info,False,HUMAN,0.213,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.18 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
25,"When you are on a 5:20am flight, an awesome flight crew makes a HUGE difference! Thanks @AmericanAir",customer_service,seat_upgrade,False,HUMAN,0.241,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.15 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
26,my daughters flight from HNL to PHX was cancelled tonight. Now she can't even get her checked bag because only 1 person working,flight_delay_cancel,baggage_issue,False,HUMAN,0.242,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.17 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
28,Amazing how much it costs to fly. No more “free” second carry-on. Next they’re going to start charging for a seat cushion. @AmericanAir 😤,customer_service,baggage_issue,False,HUMAN,0.221,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.16 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
30,wouldn’t let my wife and kids board because of pet carrier rules. “We know why u fly”? You don’t have a clue. Happy bday 2 me. VOKBUF,checkin_boarding,flight_delay_cancel,True,HUMAN,0.218,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.14 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
33,"Another day on .@AmericanAir, no power outlets or screens on an old A321. AA453, 3.5 hour flight. #platinum #garbageairlinegarbageairplanes @AmericanAir If they’re so bad, why do you keep flying with them? :) @AmericanAir No choice. Massive consolidation of airlines has eliminated choice, and I do not acknowledge the existence of United.",seat_upgrade,flight_status_info,False,HUMAN,0.208,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.15 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
34,"you need to send staff on the priority desk at terminal B on Not really, i just don’t think is good for you to have an unattended PRIORITY DESK.. is contradictory.",customer_service,flight_status_info,False,HUMAN,0.175,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.13 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
36,thank you for your help in extending my time in #Paris - the extra time will do my soul good. I'm loving being in,customer_service,flight_status_info,False,HUMAN,0.266,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.17 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
38,Now @AmericanAir are targeting commuters with a pop-up sports lounge at Canary Wharf! via :,customer_service,website_app_issue,False,HUMAN,0.347,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.17 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
40,I would like to get my refund from @AmericanAir but they say it’s not theirs. Even though the charge clearly says American Airlines 🙄 I booked via so I don’t have the ticket number. However the charge says American Airlines since the flight was yours,refund_compensation,website_app_issue,False,HUMAN,0.251,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.15 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
42,"Hey @AmericanAir maybe you should add family boarding. Your policy at SFO for parents to ASK to board early is obnoxious. Thx for considering my suggestion. The LAST thing I have brain power for, when traveling with an infant, is to stand in ANOTHER line to ask.",checkin_boarding,website_app_issue,False,HUMAN,0.215,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.16 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
45,",I’m a Mom of 10 kids-Any chance you have a Super Deal on Roundtrip tickets from the US to Europe for a Family Of 12 ? We just returned home from Europe and could only take 2 kids — the flight both ways was perfect. -",booking_change,refund_compensation,False,HUMAN,0.217,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.14 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
46,Today @AmericanAir showed us a 787 heading to China later today. We are so incredible thankful for your amazing employees! #leydenpride,customer_service,flight_status_info,False,HUMAN,0.235,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.17 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
47,Thank you @AmericanAir for your donation to getting my fellow comrads and myself to #ophardhustle We appreciate your kindness and support!,customer_service,flight_status_info,False,HUMAN,0.423,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.15 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
48,"T.Y. to the inflight crew on AA flight 30 LAX to JFK on 9/25/17. 5 Star Service is an understatement, they deserve 10! #bravo @AmericanAir",customer_service,flight_status_info,False,HUMAN,0.306,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.14 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
49,Juuuuuust made it! Thanks @AmericanAir ☺,checkin_boarding,flight_status_info,False,HUMAN,0.299,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.20 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
51,is that your new logo ??,customer_service,seat_upgrade,False,HUMAN,0.243,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.16 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
52,A few of our Improvers on the @AmericanAir team had the opportunity to tour the and have an onsite lunch. #LifeAtImproving,customer_service,flight_status_info,False,HUMAN,0.258,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.15 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
53,"Thanks @AmericanAir! Two multi-hour flights this AM, both arriving early! #winning",customer_service,flight_status_info,False,HUMAN,0.28,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.18 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
54,Made Platinum on @AmericanAir for the first time ever. Do I get free pretzels on my next flight or what?,loyalty_program,flight_status_info,False,HUMAN,0.234,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.15 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
55,Just a couple days left of flying with @AmericanAir to for the best race of the year! Can't wait... #F1,customer_service,flight_status_info,False,HUMAN,0.222,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.16 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
56,Ripped with @AmericanAir in #RDU. They let one family ~25 people tie up 4 agents at baggage. Let them all skip line. missed my flight.,flight_delay_cancel,checkin_boarding,True,HUMAN,0.208,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.18 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
57,"Hello AA, I need to add an infant on to a booking and I need to know my luggage allowance Cancun to Miami can you help please?",booking_change,baggage_issue,False,HUMAN,0.23,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.16 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
58,"Kuddos to @AmericanAir @ATT for great care, EXCELLENT customer service, credits, discounts, fast service to PR. SHAME on 😡",refund_compensation,customer_service,False,HUMAN,0.356,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.54 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
59,can you earn additional SWUs for segments or only EQMs?,loyalty_program,flight_status_info,False,HUMAN,0.214,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.15 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
61,"So annoyed! When airlines keep delaying, giving a time, another, then another! Bad customer service @AmericanAir AA5305! Could have driven!",flight_delay_cancel,customer_service,False,HUMAN,0.277,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.38 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
63,"I know things happen, but dang, an almost four hour delay on AA2334 ORD&gt;DFW. You guys always ruin plans that I have after.",flight_delay_cancel,baggage_issue,False,HUMAN,0.287,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.13 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
65,The shit show that @AmericanAir runs is ridiculous!!! I need an email address to make a formal complaint. This is not the forum where I wish to raise my concerns!,customer_service,flight_status_info,True,HUMAN,0.186,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.15 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
66,please do the decent thing &amp; add NOLA to your weather advisory list. a hurricane is on its way. let us cancel and get a refund.,booking_change,refund_compensation,False,HUMAN,0.223,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.16 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
67,Any updates on travel waivers for the gulf coast? #HurricaneNate,flight_delay_cancel,refund_compensation,False,HUMAN,0.217,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.15 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
69,"Once again, thanks for the free in-flight Wi-Fi. Yeehaw! 🤠 #TMobileWingman @AmericanAir",seat_upgrade,flight_status_info,False,HUMAN,0.285,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.15 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
70,are you going to be issuing a travel waiver for tropical storm Nate in the near future? Anything for mob,flight_delay_cancel,flight_status_info,False,HUMAN,0.241,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.14 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
71,it's damn near 2018 and you have flights without WiFi? What a joke. Flight UA5214. Charleston to Chicago. Can you give me a comparison on % of domestic flights with Wi-Fi compared to American/Delta? Here is more information about your WiFi instillation progress. ^NC @AmericanAir how you guys doing on Wi-Fi installation? At 100% for USA domestic?,seat_upgrade,refund_compensation,True,HUMAN,0.216,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.15 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
72,Prepared a decent amount of work for my flight and then I find I'm on the last @AmericanAir plane without WiFi. #sadface,seat_upgrade,flight_status_info,False,HUMAN,0.192,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.14 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
74,you guys sucks when it comes to customer service or even to confirm wher the bags are going to claim later 2/2 and the desk at the gate B22 denied to help me find my bag (Her name Bleen) with no apologies or anything like that which sucks. its not about the app - its about confirming where the baggage claim will be as your crew said than what app says &amp; I had to run 1/2,customer_service,baggage_issue,True,HUMAN,0.351,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.32 < 0.55); Long multi-part message, needs human review), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
75,"Dear @AmericanAir. Some of your airplanes are really, really, uncomfortably out of date. Like the one I'm on right now ☹️ @AmericanAir I'm afraid to tweet such things for fear that they will put me in the smallest legroom seat possible.",seat_upgrade,flight_status_info,False,HUMAN,0.212,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.15 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
76,Yo @AmericanAir find a tug driver to get aircraft for Flt 2225 to LAX to Gate K5 so we can get going. Trouble finding Ops staff.,flight_delay_cancel,checkin_boarding,False,HUMAN,0.309,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.18 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
77,New 737 is on the way. Been a while but I feel like I'm home again. #UpInTheAir @AmericanAir 🛫,seat_upgrade,flight_status_info,False,HUMAN,0.272,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.18 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
82,moved my itinerary and did not include my TSAPreCheck on the new reservation :( Would be awesome if this was fixed before my return flight. Dare I hold my breath? Thanks for the response!,checkin_boarding,baggage_issue,False,HUMAN,0.237,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.14 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
83,"Flt 4738 10/5 guy in 9C next to me using em &amp; txt 20 miles out, risking MY safety.. what's proper procedure to report him? Thank you!",customer_service,loyalty_program,True,HUMAN,0.192,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.13 < 0.55); Potential high-risk issue (safety)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
84,please keep this aircraft (A321S) on schedule for every Thursday 6:30pm ORD to MIA (2193)! 🙌🏼 flight long 4 Boeings w/ no TVs!,seat_upgrade,flight_status_info,False,HUMAN,0.264,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.17 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
88,my plane sat at the gate for two hours and then u lost my luggage. i hope all ur employees die alone and scared. eat as many chodes as you can pls and thank you,baggage_issue,checkin_boarding,True,HUMAN,0.194,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.22 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
89,is not on my good side right now... 24 minutes and counting on the phone because online check-in isn't working. #awesome,website_app_issue,checkin_boarding,False,HUMAN,0.236,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.18 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
90,"you can imagine how much we paid for a ticket in @AmericanAir we are treated like this, shame / AA 951 JFK",customer_service,loyalty_program,True,HUMAN,0.268,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.14 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
91,Thank you @AmericanAir for helping me change my flight out of Honduras to Saturday #Nate,booking_change,flight_status_info,False,HUMAN,0.45,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.16 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
92,American Airlines is so trash.. im going back to Delta. @AmericanAir You all cancelled a flight from Charlotte to Houston due to technical issues and couldn't find another aircraft,flight_delay_cancel,flight_status_info,True,HUMAN,0.208,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.14 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
96,100 yards short of the terminal but who's counting?,flight_delay_cancel,flight_status_info,False,HUMAN,0.198,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.17 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
99,Made it to #Dallas while listening to some sick beats courtesy of @AmericanAir ✈️ Yup. I was impressed with the selection and ease of use. Well done 👌🏼,seat_upgrade,baggage_issue,False,HUMAN,0.21,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.16 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
104,"another tip: if the flight is headed to MX maybe it would be good to have staff that speaks Spanish, not Asian. Just saying.",customer_service,website_app_issue,True,HUMAN,0.179,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.12 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
105,"Do they really think I want to leave my vacation?! I love ""volunteering"" to leave my favorite island in the world. @AmericanAir is the worst I already paid for ungraded seats for my original flight so now I am not going to get the seating that I would prefer.",seat_upgrade,checkin_boarding,False,HUMAN,0.187,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.13 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
108,"Do I HAVE TO ESCALATE EVERY CALL TO A SUPERVISOR how do you ppl keep business running sheesh I'm good, I resolved my own issue.",customer_service,flight_status_info,False,HUMAN,0.235,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.14 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
110,"hey, I've been trying to cancel a flight within the 24 hour deadline the last 1/2 hour. Can't do it online and your phone ppl said I'd get a call within 11-15. That was 20 minutes ago. Help please!",booking_change,website_app_issue,False,HUMAN,0.175,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.14 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
111,DM DM DM DM DM !! @AmericanAir,customer_service,flight_status_info,False,HUMAN,0.366,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.22 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
113,"Hi @AmericanAir do you provide any direct flights to NYC from Denver? Well I’m traveling to Denver from nyc and returning and I’m changing planes going in both directions Well I’ve flown with you guys before. Now I was wondering, can I change my departure airport from lga to jfk without being charged a fee?",booking_change,flight_status_info,False,HUMAN,0.231,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.14 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
115,"Oh @AmericanAir. 1st really bad experience. #AA2525 to DFW closed 20 min early and gate agents can’t agree. Missed flight wasn’t my fault! @AmericanAir Rebooking telling gate agents they were wrong and that 14 peeps weren’t late. Supervisor can’t explain what happened either!! That’s not the point. Point is that gate agents are blaming me and other passengers saying it’s out fault when... @AmericanAir Hi Viktor, was this at O'hare? Literally experienced the same thing. @americanAir It was confirmed that agents closed the flight 20 minutes early without authorization. I’m VERY loyal to you guys. Is that how I’m rewarded? @AmericanAir No. La Guardia. Worst part is seeing employees fighting with each other. Some blaming passengers others defending passengers.",flight_delay_cancel,checkin_boarding,True,HUMAN,0.271,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.24 < 0.55); Long multi-part message, needs human review), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
116,Had my mom fly @AmericanAir yesterday... it was miserable. Flt 242. Can someone pls DM about her experience?,customer_service,flight_status_info,False,HUMAN,0.181,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.17 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
117,Thank you @AmericanAir for having such wonderful accommodating agents at LGA!,customer_service,flight_status_info,False,HUMAN,0.409,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.20 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
118,"4th @AmericanAir flight in 2 days, 4th delay, 4th no carryon after group 2. Way to go, 4th angry gate attendant. Great service! #neveragain",flight_delay_cancel,checkin_boarding,True,HUMAN,0.163,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.15 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
120,Thanks @AmericanAir to come through when I needed to fly out of #PR. Also #freelunch #winning,seat_upgrade,flight_status_info,False,HUMAN,0.287,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.16 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
