conversation_id,customer_message,agent_response,timestamp
kb-flight_delay_cancel-6,"@AmericanAir you cancelled AA1502 last minute in PHX, need rebooking tonight",@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-20T02:00:00Z
kb-flight_status_info-10,@AmericanAir what time does AA67 land in LAX today?,@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it.,2017-10-11T23:00:00Z
kb-customer_service-1,@AmericanAir your phone team gave wrong info about AA334 twice,@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it.,2017-10-13T11:00:00Z
kb-refund_compensation-39,"@AmericanAir voucher for AA123 never arrived, confirmation ABC648",@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up.,2017-10-17T18:00:00Z
kb-baggage_issue-0,"@AmericanAir lost my luggage at JFK, no updates on tracker",@customer We'd like to help. Please DM your AAdvantage number and booking details for review.,2017-10-28T17:00:00Z
kb-website_app_issue-2,@AmericanAir website errors when I try to manage booking ABC532,"@customer We understand the frustration. Please DM your record locator, flight number and date and we'll check options.",2017-10-23T06:00:00Z
kb-flight_delay_cancel-27,"@AmericanAir diverted to CLT on AA1502, now what? no staff here",@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-18T00:00:00Z
kb-refund_compensation-21,@AmericanAir where is my refund for cancelled AA221? ticket ABC950,@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-19T18:00:00Z
kb-checkin_boarding-7,@AmericanAir gate changed from B12 to C40 with no announcement for AA1502,@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-07T03:00:00Z
kb-website_app_issue-10,@AmericanAir website errors when I try to manage booking ABC774,@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-23T03:00:00Z
kb-checkin_boarding-20,@AmericanAir gate changed from B12 to C40 with no announcement for AA45,@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-21T02:00:00Z
kb-checkin_boarding-34,@AmericanAir check-in kiosk at LHR rejected my passport for AA123,@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up.,2017-10-22T07:00:00Z
kb-customer_service-48,@AmericanAir your phone team gave wrong info about AA1502 twice,@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-27T18:00:00Z
kb-flight_delay_cancel-45,"@AmericanAir third delay on AA221, from 6 hours to now 8pm, unacceptable",@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-04T00:00:00Z
kb-website_app_issue-3,@AmericanAir payment failed twice but card charged for AA45,@customer We'd like to help. Please DM your AAdvantage number and booking details for review.,2017-10-10T04:00:00Z
kb-flight_status_info-46,@AmericanAir will AA908 make up time? showing 3 hours late,@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-22T14:00:00Z
kb-seat_upgrade-14,"@AmericanAir entertainment screen broken on AA45, seat 26E",@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-27T02:00:00Z
kb-loyalty_program-22,@AmericanAir gold status not showing on booking ABC942 for AA1502,@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it.,2017-10-08T23:00:00Z
kb-flight_delay_cancel-34,"@AmericanAir missed connection because AA908 was late into DFW, help",@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up.,2017-10-13T10:00:00Z
kb-booking_change-46,"@AmericanAir on standby for AA334 at LHR, how do I confirm?",@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-25T10:00:00Z
kb-booking_change-15,"@AmericanAir booked wrong date for AA1502, need to fix to Friday",@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it.,2017-10-25T07:00:00Z
kb-website_app_issue-15,@AmericanAir website errors when I try to manage booking ABC457,@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up.,2017-10-06T11:00:00Z
kb-customer_service-4,"@AmericanAir counter staff refused to help rebook AA123, terrible service",@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up.,2017-10-23T19:00:00Z
kb-website_app_issue-21,@AmericanAir website errors when I try to manage booking ABC400,@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-20T15:00:00Z
kb-checkin_boarding-24,@AmericanAir gate changed from B12 to C40 with no announcement for AA67,@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-07T13:00:00Z
kb-baggage_issue-9,@AmericanAir my bag was opened and items missing after AA908,"@customer We understand the frustration. Please DM your record locator, flight number and date and we'll check options.",2017-10-15T11:00:00Z
kb-flight_delay_cancel-18,"@AmericanAir my flight AA908 from JFK to JFK was cancelled, what are my options?",@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-27T17:00:00Z
kb-seat_upgrade-44,"@AmericanAir seat 30E on AA789 won't recline, broken",@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-14T05:00:00Z
kb-loyalty_program-0,@AmericanAir miles from AA789 never posted to AAdvantage ABC682,@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-05T08:00:00Z
kb-loyalty_program-35,@AmericanAir missing 5000 miles from last month's flights,@customer We'd like to help. Please DM your AAdvantage number and booking details for review.,2017-10-13T22:00:00Z
kb-flight_status_info-34,@AmericanAir what's the status of AA789 to PHX?,@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-03T10:00:00Z
kb-booking_change-27,"@AmericanAir trying to cancel reservation ABC718, site keeps failing",@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it.,2017-10-10T08:00:00Z
kb-customer_service-39,"@AmericanAir on hold 2 hours then hung up, need help with AA908","@customer We understand the frustration. Please DM your record locator, flight number and date and we'll check options.",2017-10-14T18:00:00Z
kb-refund_compensation-5,@AmericanAir where is my refund for cancelled AA789? ticket ABC127,@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-16T12:00:00Z
kb-seat_upgrade-13,"@AmericanAir entertainment screen broken on AA1502, seat 13A",@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up.,2017-10-04T15:00:00Z
kb-flight_delay_cancel-8,"@AmericanAir diverted to JFK on AA221, now what? no staff here",@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-16T00:00:00Z
kb-checkin_boarding-26,"@AmericanAir can't check in for AA1502, app says see agent","@customer We understand the frustration. Please DM your record locator, flight number and date and we'll check options.",2017-10-11T15:00:00Z
kb-loyalty_program-14,@AmericanAir miles from AA123 never posted to AAdvantage ABC906,@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-17T19:00:00Z
kb-website_app_issue-0,@AmericanAir website errors when I try to manage booking ABC390,@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up.,2017-10-21T06:00:00Z
kb-loyalty_program-46,"@AmericanAir can't log in to AAdvantage, reset not working",@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up.,2017-10-15T09:00:00Z
kb-booking_change-21,"@AmericanAir trying to cancel reservation ABC382, site keeps failing",@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-15T19:00:00Z
kb-baggage_issue-29,"@AmericanAir bag delayed 2 days from AA1502, need it delivered to hotel",@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it.,2017-10-02T14:00:00Z
kb-refund_compensation-3,@AmericanAir where is my refund for cancelled AA67? ticket ABC491,@customer We'd like to help. Please DM your AAdvantage number and booking details for review.,2017-10-15T11:00:00Z
kb-flight_delay_cancel-49,"@AmericanAir flight AA1502 to ORD cancelled, app shows no alternatives",@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-21T04:00:00Z
kb-flight_delay_cancel-46,"@AmericanAir diverted to DCA on AA908, now what? no staff here",@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it.,2017-10-05T04:00:00Z
kb-flight_status_info-36,@AmericanAir where is inbound aircraft for AA67?,@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it.,2017-10-25T06:00:00Z
kb-flight_status_info-39,@AmericanAir where is inbound aircraft for AA45?,@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it.,2017-10-10T21:00:00Z
kb-customer_service-27,"@AmericanAir counter staff refused to help rebook AA67, terrible service",@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-19T18:00:00Z
kb-flight_status_info-8,@AmericanAir what's the status of AA1502 to JFK?,@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-10T12:00:00Z
kb-seat_upgrade-27,@AmericanAir paid for extra legroom on AA45 but got middle seat,"@customer We understand the frustration. Please DM your record locator, flight number and date and we'll check options.",2017-10-24T17:00:00Z
kb-booking_change-38,@AmericanAir can I switch from AA334 to an earlier flight today at PHX?,@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-23T20:00:00Z
kb-baggage_issue-33,@AmericanAir my bag was opened and items missing after AA45,@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-03T09:00:00Z
kb-customer_service-2,"@AmericanAir on hold 2 hours then hung up, need help with AA221",@customer We'd like to help. Please DM your AAdvantage number and booking details for review.,2017-10-19T15:00:00Z
kb-loyalty_program-3,"@AmericanAir can't log in to AAdvantage, reset not working",@customer We'd like to help. Please DM your AAdvantage number and booking details for review.,2017-10-03T20:00:00Z
kb-loyalty_program-6,"@AmericanAir can't log in to AAdvantage, reset not working",@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it.,2017-10-15T12:00:00Z
kb-booking_change-48,"@AmericanAir need to rebook AA45 due to emergency, what are fees?","@customer We understand the frustration. Please DM your record locator, flight number and date and we'll check options.",2017-10-16T03:00:00Z
kb-website_app_issue-17,"@AmericanAir can't log in, password reset email never arrives",@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up.,2017-10-21T02:00:00Z
kb-seat_upgrade-34,"@AmericanAir entertainment screen broken on AA123, seat 24E",@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-20T18:00:00Z
kb-baggage_issue-15,"@AmericanAir lost my luggage at JFK, no updates on tracker","@customer We understand the frustration. Please DM your record locator, flight number and date and we'll check options.",2017-10-04T22:00:00Z
kb-website_app_issue-18,"@AmericanAir can't log in, password reset email never arrives",@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-26T00:00:00Z
kb-refund_compensation-20,"@AmericanAir voucher for AA67 never arrived, confirmation ABC793",@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-04T14:00:00Z
kb-loyalty_program-23,@AmericanAir gold status not showing on booking ABC904 for AA908,@customer We'd like to help. Please DM your AAdvantage number and booking details for review.,2017-10-25T22:00:00Z
kb-website_app_issue-31,"@AmericanAir app crashes at payment for AA123, tried 3 times",@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up.,2017-10-10T03:00:00Z
kb-customer_service-42,@AmericanAir your phone team gave wrong info about AA1502 twice,@customer We'd like to help. Please DM your AAdvantage number and booking details for review.,2017-10-18T09:00:00Z
kb-seat_upgrade-6,"@AmericanAir entertainment screen broken on AA334, seat 16F",@customer We'd like to help. Please DM your AAdvantage number and booking details for review.,2017-10-11T05:00:00Z
kb-loyalty_program-42,@AmericanAir gold status not showing on booking ABC425 for AA908,@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up.,2017-10-11T07:00:00Z
kb-booking_change-24,"@AmericanAir need to rebook AA908 due to emergency, what are fees?",@customer We'd like to help. Please DM your AAdvantage number and booking details for review.,2017-10-08T07:00:00Z
kb-website_app_issue-16,@AmericanAir payment failed twice but card charged for AA908,@customer We'd like to help. Please DM your AAdvantage number and booking details for review.,2017-10-24T20:00:00Z
kb-customer_service-47,@AmericanAir your phone team gave wrong info about AA1502 twice,@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-03T00:00:00Z
kb-seat_upgrade-31,@AmericanAir upgrade didn't clear on AA221 though seats open in first,@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-08T04:00:00Z
kb-flight_status_info-41,@AmericanAir what time does AA45 land in PHX today?,@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-28T08:00:00Z
kb-flight_delay_cancel-3,"@AmericanAir third delay on AA789, from 6 hours to now 8pm, unacceptable",@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-06T11:00:00Z
kb-loyalty_program-25,"@AmericanAir can't log in to AAdvantage, reset not working",@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up.,2017-10-13T06:00:00Z
kb-website_app_issue-23,"@AmericanAir app crashes at payment for AA221, tried 3 times",@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-18T08:00:00Z
kb-customer_service-44,@AmericanAir your phone team gave wrong info about AA67 twice,"@customer We understand the frustration. Please DM your record locator, flight number and date and we'll check options.",2017-10-02T19:00:00Z
kb-loyalty_program-32,@AmericanAir miles from AA67 never posted to AAdvantage ABC358,@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it.,2017-10-28T06:00:00Z
kb-refund_compensation-24,"@AmericanAir requested refund 3 weeks ago for AA334, no response",@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-13T22:00:00Z
kb-flight_status_info-23,@AmericanAir will AA67 make up time? showing 2 hours late,@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-21T07:00:00Z
kb-seat_upgrade-39,@AmericanAir upgrade didn't clear on AA221 though seats open in first,@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it.,2017-10-13T13:00:00Z
kb-baggage_issue-40,@AmericanAir baggage claim line at MIA is hours long after AA789,@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-13T15:00:00Z
kb-flight_delay_cancel-21,"@AmericanAir AA908 delayed 90 minutes with no updates, crew says nothing",@customer We'd like to help. Please DM your AAdvantage number and booking details for review.,2017-10-14T04:00:00Z
kb-baggage_issue-25,"@AmericanAir lost my luggage at CLT, no updates on tracker",@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-13T09:00:00Z
kb-refund_compensation-23,"@AmericanAir requested refund 3 weeks ago for AA908, no response",@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-21T09:00:00Z
kb-customer_service-45,"@AmericanAir on hold 2 hours then hung up, need help with AA789",@customer We'd like to help. Please DM your AAdvantage number and booking details for review.,2017-10-22T11:00:00Z
kb-refund_compensation-38,"@AmericanAir requested refund 3 weeks ago for AA123, no response",@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up.,2017-10-25T18:00:00Z
kb-booking_change-23,"@AmericanAir booked wrong date for AA67, need to fix to Friday",@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it.,2017-10-21T21:00:00Z
kb-checkin_boarding-18,@AmericanAir gate changed from B12 to C40 with no announcement for AA67,@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up.,2017-10-02T21:00:00Z
kb-baggage_issue-21,"@AmericanAir bag delayed 2 days from AA45, need it delivered to hotel",@customer We'd like to help. Please DM your AAdvantage number and booking details for review.,2017-10-14T08:00:00Z
kb-website_app_issue-40,@AmericanAir website errors when I try to manage booking ABC847,"@customer We understand the frustration. Please DM your record locator, flight number and date and we'll check options.",2017-10-27T05:00:00Z
kb-website_app_issue-4,@AmericanAir website errors when I try to manage booking ABC843,@customer We'd like to help. Please DM your AAdvantage number and booking details for review.,2017-10-04T11:00:00Z
kb-checkin_boarding-44,@AmericanAir gate changed from B12 to C40 with no announcement for AA789,@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it.,2017-10-07T21:00:00Z
