id,customer_message,agent_reply,correctness_1_to_5,groundedness_1_to_5,helpfulness_1_to_5,tone_1_to_5,completeness_1_to_5,human_overall_1_to_5,auditor_notes
11,disappoints once again! Just once I would like to get home without a delay! 😡,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.15 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
12,Y’all fucking suck @AmericanAir,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.21 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
13,"Hi. I want more information about the following images. My sister is coming to Brazil, leaving Miami. the suitcase 678 yes, the 679 was not loaded for flight AA 0929. Look the image bring her bags to the final destination. I hope the 2 bags are delivered in Sao Paulo because if she packed her bags at the check in of the american, the least you have to do is is the least you should do for her. early this morning we will see this","Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.19 < 0.55); Long multi-part message, needs human review), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
14,might be my new favorite airline after my flight to Miami. I will confirm after I make it home....,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.15 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
15,"- #4442 ATL-LGA arrives early. Bags unloaded,people still on plane. Multiple calls for gate agent=nothing. Becoming the norm 😖 Thanks. It's becoming the normal instead of exception with the waits 15 minutes or more.","Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.15 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
16,just totally screwed this lady over...,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.17 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
17,could you throw me onto the upgrade list for my flight today to DCA?,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.14 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
18,worst experience ever. Trip to U.K. Scheduled for 7:25pm and it is 3 am and still haven't left. Waiting 4 hours on catering!,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.15 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
19,Will send it through now thank you,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.15 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
20,"Hi please start a Dulles - Barcelona direct flight, don't want to fly United. Thanks!!!","Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.18 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
21,can you send please the info that is not advisable to travel to Catalonia or Barcelona ? Thanks! thanks!,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.13 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
22,Just met some of the worst @AmericanAir pre-boarding crew members ... @jetblue do you have any open 💺 to Miami. I don’t expect it to get any better. Please DM. I want a refund.,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.16 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
23,I bought two tickets for my friend &amp; I tomorrow but she cancelled last minuted &amp; can’t go now. Will I be charged any fees ... For her cancellation or will I get any refund?,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.19 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
24,"Flying too la barbade today 🤗, i have been selected for the ssss check yay @AmericanAir 😒","Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.18 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
25,"When you are on a 5:20am flight, an awesome flight crew makes a HUGE difference! Thanks @AmericanAir","Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.15 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
26,my daughters flight from HNL to PHX was cancelled tonight. Now she can't even get her checked bag because only 1 person working,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.17 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
27,"Everyone loves a ""flight delayed, we changed your flights, your new flight is cancelled, go home, come back tomorrow"" story. @AmericanAir","Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.28 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
28,Amazing how much it costs to fly. No more “free” second carry-on. Next they’re going to start charging for a seat cushion. @AmericanAir 😤,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.16 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
29,"Tonya, the @AmericanAir flight attendant from RIC to PHL this AM and yesterday from PHL to RIC is fantastic. A customer service champion.","Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.28 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
30,wouldn’t let my wife and kids board because of pet carrier rules. “We know why u fly”? You don’t have a clue. Happy bday 2 me. VOKBUF,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.14 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
31,Sometimes I wish airplane seats 💺 faced the window! I want to stare at this as long as it lasts - Good morning world 🌎 @AmericanAir,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.17 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
32,Sigh... got a notice that @AmericanAir flight is delayed. Yesterday's delay made me miss connection. Today's will make me late for conf,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.17 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
33,"Another day on .@AmericanAir, no power outlets or screens on an old A321. AA453, 3.5 hour flight. #platinum #garbageairlinegarbageairplanes @AmericanAir If they’re so bad, why do you keep flying with them? :) @AmericanAir No choice. Massive consolidation of airlines has eliminated choice, and I do not acknowledge the existence of United.","Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.15 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
34,"you need to send staff on the priority desk at terminal B on Not really, i just don’t think is good for you to have an unattended PRIORITY DESK.. is contradictory.","Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.13 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
35,thank you so much for helping us out with our flight cancellation - 2 sick boys can’t travel - amazing customer service! :),"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.30 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
36,thank you for your help in extending my time in #Paris - the extra time will do my soul good. I'm loving being in,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.17 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
37,"Luggage is lost and cannot even get in contact with anyone for help other than your automated response.... need help. No help, ur things says no tags #s for 2 bags, my receipt has #s. It hasn't located bags as yet. No clothes, toiletries etc. not good","Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.27 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
38,Now @AmericanAir are targeting commuters with a pop-up sports lounge at Canary Wharf! via :,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.17 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
39,is your site not working? Been spinning for minutes,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.17 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
40,I would like to get my refund from @AmericanAir but they say it’s not theirs. Even though the charge clearly says American Airlines 🙄 I booked via so I don’t have the ticket number. However the charge says American Airlines since the flight was yours,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.15 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",,,,,,,
