id,true_intent,pred_intent,escalation,reply,correctness,groundedness,helpfulness,tone,completeness,overall,reason
66,flight_delay_cancel,flight_delay_cancel,AUTO-HANDLE,"I'm sorry your flight was disrupted. I'm pulling up rebooking options for you — please share your record locator and whether you can accept an alternate connection. For reference, in similar cases we've typically responded like: ""@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up."" If you'd like, I can escalate this to a specialist.",4,5,4,5,4,4,heuristic: overlap=0.318
61,flight_status_info,loyalty_program,AUTO-HANDLE,"Thanks for your loyalty — let's sort the account issue. I'll check the account — please share the AAdvantage number and which activity is missing. For reference, in similar cases we've typically responded like: ""@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away."" If you'd like, I can escalate this to a specialist.",4,5,4,5,4,4,heuristic: overlap=0.452
85,baggage_issue,baggage_issue,AUTO-HANDLE,"I'm sorry about the trouble with your bag. I'll help trace the bag — please share your baggage claim/file reference (e.g. DFWAA12345) and delivery address. For reference, in similar cases we've typically responded like: ""@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist."" If you'd like, I can escalate this to a specialist.",4,5,4,5,4,4,heuristic: overlap=0.308
68,seat_upgrade,flight_status_info,AUTO-HANDLE,"Thanks for reaching out. I can look up the latest status — please confirm the flight number and date. For reference, in similar cases we've typically responded like: ""@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up."" If you'd like, I can escalate this to a specialist.",3,5,3,5,4,4,heuristic: overlap=0.395
126,baggage_issue,baggage_issue,AUTO-HANDLE,"I'm sorry about the trouble with your bag. I'll help trace the bag — please share your baggage claim/file reference (e.g. DFWAA12345) and delivery address. For reference, in similar cases we've typically responded like: ""@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up."" If you'd like, I can escalate this to a specialist.",4,5,4,5,4,4,heuristic: overlap=0.282
133,booking_change,booking_change,HUMAN,"Happy to help with that change. I can walk through change options — please share your confirmation code and new preferred date/time. For reference, in similar cases we've typically responded like: ""@customer We'd like to help. Please DM your AAdvantage number and booking details for review."" If you'd like, I can escalate this to a specialist.",4,5,4,5,4,4,heuristic: overlap=0.282
10,seat_upgrade,seat_upgrade,AUTO-HANDLE,"Thanks for flagging the seat issue. I'll check seat options — please share your flight/date and preferred seat type. For reference, in similar cases we've typically responded like: ""@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it."" If you'd like, I can escalate this to a specialist.",4,5,4,5,4,4,heuristic: overlap=0.319
19,website_app_issue,website_app_issue,AUTO-HANDLE,"Sorry the site/app gave you trouble. Sorry for the trouble — please share what step fails (with screenshot text/error) and the browser/app version. For reference, in similar cases we've typically responded like: ""@customer We'd like to help. Please DM your AAdvantage number and booking details for review."" If you'd like, I can escalate this to a specialist.",4,5,4,5,4,4,heuristic: overlap=0.250
56,flight_delay_cancel,booking_change,AUTO-HANDLE,"Happy to help with that change. I can walk through change options — please share your confirmation code and new preferred date/time. For reference, in similar cases we've typically responded like: ""@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away."" If you'd like, I can escalate this to a specialist.",4,5,4,5,4,4,heuristic: overlap=0.400
76,loyalty_program,loyalty_program,AUTO-HANDLE,"Thanks for your loyalty — let's sort the account issue. I'll check the account — please share the AAdvantage number and which activity is missing. For reference, in similar cases we've typically responded like: ""@customer We understand the frustration. Please DM your record locator, flight number and date and we'll check options."" If you'd like, I can escalate this to a specialist.",4,5,4,5,4,4,heuristic: overlap=0.357
151,refund_compensation,refund_compensation,AUTO-HANDLE,"I understand you want an update on your refund/credit. I can check refund/voucher eligibility — please share your ticket number and the disrupted flight/date. For reference, in similar cases we've typically responded like: ""@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist."" If you'd like, I can escalate this to a specialist.",4,5,4,5,4,4,heuristic: overlap=0.429
105,checkin_boarding,checkin_boarding,AUTO-HANDLE,"Let's get you checked in. Let's sort check-in — please share your confirmation code and what error/message you see. For reference, in similar cases we've typically responded like: ""@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up."" If you'd like, I can escalate this to a specialist.",4,5,4,5,4,4,heuristic: overlap=0.368
136,loyalty_program,loyalty_program,AUTO-HANDLE,"Thanks for your loyalty — let's sort the account issue. I'll check the account — please share the AAdvantage number and which activity is missing. For reference, in similar cases we've typically responded like: ""@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it."" If you'd like, I can escalate this to a specialist.",4,5,4,5,4,4,heuristic: overlap=0.372
138,flight_status_info,flight_status_info,HUMAN,"Thanks for reaching out. I can look up the latest status — please confirm the flight number and date. For reference, in similar cases we've typically responded like: ""@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it."" If you'd like, I can escalate this to a specialist.",3,5,3,5,4,4,heuristic: overlap=0.412
165,checkin_boarding,checkin_boarding,HUMAN,"Let's get you checked in. Let's sort check-in — please share your confirmation code and what error/message you see. For reference, in similar cases we've typically responded like: ""@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up."" If you'd like, I can escalate this to a specialist.",4,5,4,5,4,4,heuristic: overlap=0.310
77,booking_change,booking_change,AUTO-HANDLE,"Happy to help with that change. I can walk through change options — please share your confirmation code and new preferred date/time. For reference, in similar cases we've typically responded like: ""@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away."" If you'd like, I can escalate this to a specialist.",4,5,4,5,4,4,heuristic: overlap=0.349
